Favorite, Company Name,Contact Name,City,State,Phone
,1949 Food Corp.,Ali Hamdan,Brooklyn,NY,(718) 266-8100
,47179 Lyons Meat & Produce Inc,Shee Chun Lee,Irvington,NJ,(973) 926-5498
,"5601 South Blvd. Foods, LLC",Omar Jorge,Charlotte,NC,(704) 522-7100
,"A.J. Seabra Supermarkets XII, Inc.",Antonio Seabra,Newark,NJ,(973) 589-4462
,"Albeco, Inc.",Michael Stone,Mill Valley,CA,(415) 289-5720
,Albertson's LLC,Leonard Laufer,Boise,ID,(208) 395-6200
,Aldi Inc.,Jason Hart,Batavia,IL,(630) 879-8100
,"All In One Shop, Inc.",Jolly G. Mathew,Westfield,MA,(413) 642-2244
,"A Matter of Health Rockland, Inc.",Heddy Tabet,Nanuet,NY,(845) 627-3333
,Anna's Garden Inc,Sang Yung Yi,Closter,NJ,(201) 767-0800
,"Asian Food Market of Route 22, Inc.",Jonathan Chan,South Plainfield,NJ,(908) 279-6930
,Asian Food Markets of Forest Avenue LLC,Jonathan Chan,Staten Island,NY,(917) 336-7998
,Asian Food Markets of Hudson LLC,Jonathan Chan,Jersey City,NJ,(201) 333-8898
,Asian Food Markets of Plainsboro LLC,Jonathan Chan,Plainsboro,NJ,(609) 799-1828
,Asia Supermarket Group LLC,Vinh Ton,Windcrest,TX,(210) 643-5438
,"Associated Food Stores, LLC",Chip Atkinson,Salt Lake City,UT,(801) 973-4400
,"Autry Greer & Sons, Inc.",Robert A. Greer,Prichard,AL,(251) 457-8655
,"Bargain Barn, Inc. (The)",Lisa Bryson,Athens,TN,(423) 746-0022
,Bay Street Extra LLC,Alberto Mendez,Staten Island,NY,(718) 447-1200
,"Berberian Enterprises, Inc.",John Berberian,Los Angeles,CA,(323) 460-4646
,"Berkot, Ltd.",Luke Kotara,Joliet,IL,(708) 479-7411
,"Big Bunny Market, Inc.",Pete Cournoyer,Southbridge,MA,(508) 765-9824
,"Big Y Foods, Inc.",Charles L. D'Amour,Springfield,MA,(413) 784-0600
,"BJ's Wholesale Club, Inc.",Robert W. Eddy,Marlborough,MA,(774) 512-7400
,BNP Management LLC,Heung S. Park,Northvale,NJ,(201) 638-8599
,"Bogopa Enterprises, Inc.",Spencer An,Brooklyn,NY,(718) 346-6500
,Bogopa Service Corp.,Spencer An,Long Island City,NY,(718) 346-6500
,Bravo Supermarket,,Kissimmee,FL,(407) 518-9840
,Brookhaven Marketplace II,John Bertakis,Mokena,IL,(708) 479-7171
,"Brookshire Brothers, Inc.",Milton Hixson,Lufkin,TX,(936) 634-8155
,Brookshire Grocery Company,Brad Brookshire,Tyler,TX,(903) 534-3000
,"Broward Meat & Fish Market of North Lauderdale, Inc.",,Margate,FL,(954) 726-8686
,"Buehler Food Markets, Incorporated",Mike Davidson,Wooster,OH,(330) 264-4355
,Burnside Food Corp.,Ispolito Vargas ,Bronx,NY,(718) 933-6921
,Buy-Low Foods Ltd.,Daniel Bregg,Surrey,BC,(604) 888-1121
,CD Foods LLC,Carlos Rafael Silva Duarte,Union,NJ,(862) 367-1873
,C Glez Food Corp.,Chris Gonzalez,New Rochelle,NY,(914) 365-1310
,"Chedraui USA, Inc.",Ramon Chedraui,Paramount,CA,(562) 616-8800
,"C. K. Chu Enterprises, Inc.",Dipesh Patel,Savannah,GA,(912) 232-3462
,"Coborn's, Incorporated",Christopher Michael Coborn,Saint Cloud,MN,(320) 252-4222
,Costco Wholesale Corporation,Hamilton E. James,Seattle,WA,(425) 313-8100
,"Davie Marketplace, LLC",Seema Dhawan,Davie,FL,(954) 797-7790
,"Demoulas Super Markets, Inc.",William J. Shea,Tewksbury,MA,(978) 851-8000
,"Dierbergs Markets, Inc.",Robert J. Dierberg,Chesterfield,MO,(636) 532-8884
,"Double Dragon Food Market, LLC",David Luu,Des Moines,IA,(515) 284-0527
,"Earth Fare 2020, Inc.",,Asheville,NC,(828) 255-2999
,East Meadow Corp.,Carl Del Prete,East Meadow,NY,(516) 579-1955
,"El Rey Mexican Products, Inc.",Ernesto Villarreal,Milwaukee,WI,(414) 643-1640
,"Fareway Stores, Inc.",Paula S. Beckwith,Boone,IA,(515) 432-2623
,"Farmer Joe's Market, LLC",Glen L. Snyder,Cape Coral,FL,(239) 229-1544
,Fat Meat & Produce Corp.,Mario Herndandez,Brooklyn,NY,(718) 439-7999
,"Fiesta Mart, L.L.C.",Sid Keswani,Houston,TX,(713) 869-5060
,"Foodland Super Market, Limited",Jenai Sullivan Wall,Honolulu,HI,(808) 732-0791
,"Food Lion, LLC",Ronald Hodge,Salisbury,NC,(704) 633-8250
,"Fred Meyer Stores, Inc.",Lynn Gust,Portland,OR,(503) 232-8844
,Fresh Farm & Fish Inc,,Bronx,NY,(917) 887-5432
,"Fresh Market, Inc., The",Ray D. Berry,Greensboro,NC,(336) 272-1338
,"Geisslers Supermarkets, Incorporated",Bob Rybick,Bloomfield,CT,(860) 623-6336
,Gelson's Markets,John Bagan,Los Angeles,CA,(310) 638-2842
,"Gerrity's Super Market, Inc.",Joyce Fasula,Scranton,PA,(570) 342-4144
,GG III SAL LLC,"Michael S. Needler, Jr.",Findlay,OH,(419) 422-8090
,"Giant Eagle, Inc.",Bart Friedman,Pittsburgh,PA,(412) 963-6200
,"Gitto & Sons Health Food, Inc.",Eui Jae (E.J.) Kim,Brooklyn,NY,(718) 209-4587
,"Global Food, LLC",Jong Taek Kim,Woodbridge,VA,(703) 897-6100
,"Golub Corporation, The",Neil M. Golub,Schenectady,NY,(518) 355-5000
,"Good Fortune Supermarket of Quincy, Inc.",Kuan H. Wu,Quincy,MA,(617) 786-8868
,"Good Fortune Supermarket of VA I, Inc.",Kuan H. Wu,Falls Church,VA,(571) 830-6668
,Gordon Food Service Canada Ltd.,Frank Geier,Milton,ON,(905) 864-3700
,"Gordon Food Service, Inc.",Daniel A. Gordon,Grand Rapids,MI,(616) 530-7000
,Grocery Outlet Inc.,Eric Lindberg,Emeryville,CA,(510) 845-1999
,GW & L Food Corp.,Miguel Luna,Bronx,NY,(718) 319-8414
,"Hamilton Corporation of Maryland, Inc.",James Streett,Baltimore,MD,(410) 254-1603
,"Hannaford Bros. Co., LLC",Beth Newlands Campbell,Portland,ME,(207) 883-2911
,"Harris Teeter, LLC",Tammy DeBoer,Matthews,NC,(704) 844-3100
,"Hays Food Town, Inc.",Michael J. King,Wynne,AR,(870) 238-2656
,H. E. Butt Grocery Company,Charles C. Butt,San Antonio,TX,(210) 938-8000
,"Heinen's, Inc.",Jeff Heinen,Warrensville Heights,OH,(216) 475-2300
,H F Dollar & Up Fruit and Vegetable Corp.,Lin Hua Feng,Woodside,NY,(917) 660-4297
,HL Supermarket Inc.,John Lin,Brooklyn,NY,(718) 680-2990
,"HNH Enterprises, Inc.",Serson Ng,Sacramento,CA,(916) 424-8883
,Horace Meat and Fish Inc,Marcia Diaz,North Miami Beach,FL,(305) 974-5370
,"Hy-Vee, Inc.",Randall B. Edeker,West Des Moines,IA,(515) 267-2800
,"Ingles Markets, Incorporated",Robert P. Ingle II,Asheville,NC,(828) 669-2941
,Jai Rameshwari Incorporated,Piyush Patel,Freehold,NJ,(732) 577-1660
,"JFE Franchising, Inc.",Stacy Kwon,Houston,TX,(713) 463-7777
,"J & J International Foods, Inc.",Christopher Lee,Virginia Beach,VA,(757) 490-7901
,Jose Enriquez Inc,Jose Enriquez,Chula Vista,CA,(619) 426-6992
,"King Kullen Grocery Co., Inc.",Bernard D. Kennedy,Hauppauge,NY,(516) 733-7100
,"Kroger Co., The",W. Rodney McMullen,Cincinnati,OH,(513) 762-4000
,"K-VA-T Food Stores, Inc.",Steven C. Smith,Abingdon,VA,(276) 623-5100
,La Placita Market Corp.,Wilson Narvaez,Peekskill,NY,(914) 734-9818
,"Lewis Food Town, Inc.",Michael Lewis,Houston,TX,(713) 746-3600
,"Liberty King Produce, Inc.",June Hyung H. Kil,South Richmond Hill,NY,(718) 658-8817
,Loblaw Companies Limited,Galen G. Weston,Brampton,ON,(905) 459-2500
,Long River Seafood Corp,Bernabe Gutierrez,Bronx,NY,(718) 512-9491
,LSW 245 Corp.,Sangwoo Lee,Hewlett,NY,(516) 569-6839
,"Manito Super 1 Foods, Inc.",Ronald B. McIntire,Post Falls,ID,(208) 772-5722
,"Marc Glassman, Inc.",Marc Glassman,Parma,OH,(216) 265-7700
,"Marine Foods Express, Ltd.",Jason Poon,Houston,TX,(713) 986-3698
,"Market Basket, The",Mark Chernalis,Franklin Lakes,NJ,(201) 891-2000
,"Meijer, Inc.",Hank Meijer,Grand Rapids,MI,(616) 453-6711
,"Mei's Trading Orlando, LLC",Stephen Tsui,Orlando,FL,(689) 208-1888
,"Metro, Inc.",Real Raymond,Montreal,QC,(514) 643-1000
,Metro Ontario Inc.,Alan Brisebois,Toronto,ON,(416) 239-7171
,Metro Richelieu Inc.,Eric R. La Fleche,Montreal,QC,(514) 643-1000
,Miner's Incorporated,"James A. Miner, Jr.",Duluth,MN,(218) 729-5882
,Mundi Commerce Supply LLC,Bergman J. Arguello ,Miami,FL,(786) 264-5939
,NC 700 Tennent Road LLC,Gregory  Tolston,Englishtown,NJ,(732) 943-0111
,"New Albertson's, Inc.",Justin D. Dye,Boise,ID,(208) 395-6200
,"Niemann Foods, Inc.","Richard H. Niemann, Sr.",Quincy,IL,(217) 221-5600
,"Nugget Market, Inc.",Eric W. Stille,Woodland,CA,(530) 669-3300
,"Pan-Asia Market II, LLC",Hong Zheng ,Manchester,MO,(636) 220-9999
,"Paq, Inc.",William Cote,Stockton,CA,(209) 957-4917
,Plaza Loiza Corporation,Carmen Ruiz Corujo,San Juan,PR,(787) 726-8150
,Poco Loco 9 LLC,,Kyle,TX,(512) 295-2225
,Poplar Grove Pacemaker LLC,Anthony Dal Pra ,Poplar Grove,IL,(815) 765-9108
,Princeton Gourmet Mart Inc.,Heung S. Park,Princeton Junction,NJ,(609) 750-8888
,"Provisiones Food Distributor, Inc.",Noe V. Sanchez,Dallas,TX,(214) 828-6202
,"Publix Super Markets, Inc.",Todds Jones,Lakeland,FL,(863) 688-1188
,Pueblo Inc,Ramon Calderon Rivera,Carolina,PR,(787) 757-3131
,"Quality Builders, L.L.C.",Andy Shetler,Cabool,MO,(417) 962-2255
,Raley's,Keith Knopf,Sacramento,CA,(916) 373-3333
,Raley's Arizona LLC,Steve Mayer,Chandler,AZ,(480) 895-9350
,Ralphs Grocery Company,Donna Giordano,Los Angeles,CA,(310) 884-9000
,Raymond Distributors Corp,Ramon Lorenzo Bautista,Bronx,NY,(646) 474-1417
,"Redner's Markets, Inc.",Richard Redner,Reading,PA,(610) 926-3700
,RFSMITH NH Holdings LLC,Robert Smith,Milford,NH,(603) 673-1615
,"Romeo & Reuss, Inc.",Stacey Romeo,Three Oaks,MI,(269) 756-9166
,"Roundy's Supermarkets, Inc.",Michael P. Turzenski,Milwaukee,WI,(414) 231-5000
,"Rouse's Enterprises, L.L.C.",Anthony J. Rouse,Thibodaux,LA,(985) 447-5998
,"Roxie's of Quincy, Inc.",Edward Rubin,Quincy,MA,(617) 773-3700
,Safeway Inc.,Robert Miller,Pleasanton,CA,(925) 467-3000
,"Save Depot, LLC",Sengiri Angkawijana,Duluth,GA,(678) 691-5700
,"Save Mart Companies, LLC, The",Shane Sampson,Modesto,CA,(209) 577-1600
,Save-On-Foods LTD.,Darrell Jones,Vancouver,BC,(604) 888-1213
,"Schnuck Markets, Inc.",Scott C. Schnuck,Saint Louis,MO,(314) 994-9900
,"Seabra Foods, Inc.",Antonio Seabra,Newark,NJ,(973) 732-4627
,"Seabra Foods Xll, Inc.",Antonio Seabra,Newark,NJ,(973) 732-4630
,"SFMV Newco, LLC",Ford Hamilton,Tuscaloosa,AL,(205) 345-5988
,Smart & Final Stores LLC,David B. Kaplan,Los Angeles,CA,(323) 869-7500
,"Sobeys, Inc.",James M. Dickson,Stellarton,NS,(902) 752-8371
,SpartanNash Company,Douglas A. Hacker,Grand Rapids,MI,(616) 878-2000
,St. Ann's Meat Corp,Anibal Rodriguez,Bronx,NY,(917) 645-5974
,Stater Bros. Markets,Peter J. Van Helden,San Bernardino,CA,(909) 733-5000
,"Stop & Shop Supermarket Company LLC, The",Kevin Holt,Boston,MA,(781) 380-8000
,"Sun Seng Supermarket, L.P.",McSean Ung,Merchantville,NJ,(856) 663-2238
,"Super Center Concepts, Inc.",Mimi R. Song,Santa Fe Springs,CA,(562) 345-9000
,"Supermercados Maximo, Inc.",Jose M. Revuelta,San Juan,PR,(787) 783-1516
,Supervalu Inc.,Gerald Storch,Minneapolis,MN,(952) 828-4000
,Tashkent Supermarket LLC,Odiljon Tursunov,Brooklyn,NY,(718) 332-1751
,"Tawa Supermarket, Inc.",Ho Yuan Chen,Buena Park,CA,(714) 521-8899
,"Texlo, LLC",David Pearson,Mason,OH,(513) 731-3500
,Trader Joe's Company,Bryan Palbaum,Monrovia,CA,(626) 599-3700
,Tremont Green Market Inc,Jae Seob Kim,Bronx,NY,(718) 409-6595
,UG Enterprises Inc.,Thomas Barresi,Farmingdale,NY,(516) 420-0126
,"Uncle Giuseppe's of Massapequa, Inc.",Philip Delprete,Massapequa,NY,(516) 308-7377
,United Newland LLC,Tony Li,Temple City,CA,(626) 500-5522
,"United Supermarkets, L.L.C.",Sidney Hopper,Lubbock,TX,(806) 791-0220
,"Vallarta Food Enterprises, Inc.",Enrique Gonzalez Jr.,Sylmar,CA,(818) 898-0088
,Wakefern Food Corp.,Sean McMenamin,Elizabeth,NJ,(908) 527-3300
,Walmart Inc.,S. Robson Walton,Bentonville,AR,(479) 273-4000
,"Wegmans Food Markets, Inc.",Daniel R. Wegman,Rochester,NY,(585) 328-2550
,"Weis Markets, Inc.",Jonathan H. Weis,Sunbury,PA,(570) 286-4571
,"Welcome Market, Inc.",Ho Yuan Chen,Union City,CA,(510) 487-8899
,"Whole Foods Market, Inc.",Jason Buechel,Austin,TX,(512) 477-4455
,"WinCo Foods, LLC",William D. Long,Boise,ID,(208) 377-0110
,"Wm. A. Straub, Inc.","Jack  W. Straub, III",House Springs,MO,(314) 725-2121
,"Woodman's Food Market, Inc.",Clint Woodman,Janesville,WI,(608) 754-8382
